image_path,resnet20_correct,resnet32_correct,shufflenetv2_x2_0_correct,vgg16_bn_correct,label
..\dataset\images\train_15894.png,1,1,1,1,0
..\dataset\images\train_08854.png,1,1,1,1,0
..\dataset\images\train_00118.png,1,1,1,1,0
..\dataset\images\train_15476.png,1,1,1,1,0
..\dataset\images\train_33619.png,1,1,1,1,0
..\dataset\images\train_30303.png,1,1,1,1,0
..\dataset\images\train_18025.png,1,1,1,1,0
..\dataset\images\test_04747.png,1,1,1,1,0
..\dataset\images\train_30879.png,1,1,1,1,0
..\dataset\images\train_25589.png,1,1,1,1,0
..\dataset\images\train_44868.png,1,1,1,1,0
..\dataset\images\test_01408.png,1,1,1,1,0
..\dataset\images\train_34099.png,1,1,1,1,0
..\dataset\images\test_03468.png,1,1,1,1,0
..\dataset\images\test_01920.png,1,1,1,1,0
..\dataset\images\test_05240.png,1,1,1,1,0
..\dataset\images\test_07840.png,1,1,1,1,0
..\dataset\images\train_35949.png,1,1,1,1,0
..\dataset\images\train_27225.png,1,1,1,1,0
..\dataset\images\test_06366.png,1,1,1,1,0
..\dataset\images\train_47229.png,1,1,1,1,0
..\dataset\images\train_23800.png,1,1,1,1,0
..\dataset\images\train_27474.png,1,1,1,1,0
..\dataset\images\train_03014.png,1,1,1,1,0
..\dataset\images\train_43331.png,1,1,1,1,0
..\dataset\images\train_40795.png,1,1,1,1,0
..\dataset\images\train_49351.png,1,1,1,1,0
..\dataset\images\train_24027.png,1,1,1,1,0
..\dataset\images\train_10870.png,1,1,1,1,0
..\dataset\images\train_01437.png,1,1,1,1,0
..\dataset\images\train_32424.png,1,1,1,1,0
..\dataset\images\train_09856.png,1,1,1,1,0
..\dataset\images\train_10647.png,1,1,1,1,0
..\dataset\images\train_31446.png,1,1,1,1,0
..\dataset\images\train_06387.png,1,1,1,1,0
..\dataset\images\train_27724.png,1,1,1,1,0
..\dataset\images\train_07414.png,1,1,1,1,0
..\dataset\images\train_12754.png,1,1,1,1,0
..\dataset\images\train_12413.png,1,1,1,1,0
..\dataset\images\train_07502.png,1,1,1,1,0
..\dataset\images\train_21019.png,1,1,1,1,0
..\dataset\images\test_02666.png,1,1,1,1,0
..\dataset\images\train_37371.png,1,1,1,1,0
..\dataset\images\train_18631.png,1,1,1,1,0
..\dataset\images\train_03515.png,1,1,1,1,0
..\dataset\images\test_03894.png,1,1,1,1,0
..\dataset\images\train_30368.png,1,1,1,1,0
..\dataset\images\train_20409.png,1,1,1,1,0
..\dataset\images\test_00447.png,1,1,1,1,0
..\dataset\images\train_42485.png,1,1,1,1,0
..\dataset\images\train_29301.png,1,1,1,1,0
..\dataset\images\test_07789.png,1,1,1,1,0
..\dataset\images\train_09104.png,1,1,1,1,0
..\dataset\images\train_21734.png,1,1,1,1,0
..\dataset\images\train_15238.png,1,1,1,1,0
..\dataset\images\train_45110.png,1,1,1,1,0
..\dataset\images\train_48749.png,1,1,1,1,0
..\dataset\images\test_04344.png,1,1,1,1,0
..\dataset\images\train_23893.png,1,1,1,1,0
..\dataset\images\test_00524.png,1,1,1,1,0
..\dataset\images\train_40829.png,1,1,1,1,0
..\dataset\images\train_33913.png,1,1,1,1,0
..\dataset\images\train_14991.png,1,1,1,1,0
..\dataset\images\test_08362.png,0,0,0,1,3
..\dataset\images\test_05714.png,1,1,0,1,0
..\dataset\images\train_02646.png,1,1,1,1,0
..\dataset\images\train_12247.png,1,1,1,1,0
..\dataset\images\train_23463.png,1,1,1,1,0
..\dataset\images\train_08887.png,1,1,1,1,0
..\dataset\images\train_20870.png,1,1,1,1,0
..\dataset\images\test_06595.png,1,1,1,1,0
..\dataset\images\train_13969.png,1,1,1,1,0
..\dataset\images\train_06246.png,1,1,1,1,0
..\dataset\images\test_03233.png,1,1,1,1,0
..\dataset\images\test_01500.png,1,1,1,1,0
..\dataset\images\train_42558.png,1,1,1,1,0
..\dataset\images\train_32689.png,1,1,1,1,0
..\dataset\images\train_14046.png,1,1,1,1,0
..\dataset\images\train_12392.png,1,1,1,1,0
..\dataset\images\train_23645.png,1,1,1,1,0
..\dataset\images\test_08754.png,1,1,1,1,0
..\dataset\images\train_32930.png,1,1,1,1,0
..\dataset\images\train_04061.png,1,1,1,1,0
..\dataset\images\test_05245.png,1,1,1,1,0
..\dataset\images\test_05596.png,1,1,1,1,0
..\dataset\images\train_08423.png,1,1,1,1,0
..\dataset\images\train_09629.png,1,1,1,1,0
..\dataset\images\train_48286.png,1,1,1,1,0
..\dataset\images\train_14073.png,1,1,1,1,0
..\dataset\images\train_27102.png,1,1,1,1,0
..\dataset\images\train_47882.png,1,1,1,1,0
..\dataset\images\train_22013.png,1,1,1,1,0
..\dataset\images\train_06357.png,1,1,1,1,0
..\dataset\images\train_18930.png,1,1,1,1,0
..\dataset\images\train_22914.png,1,1,1,1,0
..\dataset\images\train_20792.png,1,1,1,1,0
..\dataset\images\train_12210.png,1,1,1,1,0
..\dataset\images\test_08604.png,1,1,1,1,0
..\dataset\images\train_09730.png,1,1,1,1,0
..\dataset\images\train_06097.png,1,1,1,1,0
..\dataset\images\train_18779.png,1,1,1,1,0
..\dataset\images\train_22144.png,1,1,1,1,0
..\dataset\images\test_02675.png,1,1,0,0,0
..\dataset\images\train_27316.png,1,1,1,1,0
..\dataset\images\train_05193.png,1,1,1,1,0
..\dataset\images\train_49311.png,1,1,1,1,0
..\dataset\images\train_27511.png,1,1,1,1,0
..\dataset\images\train_49211.png,1,1,1,1,0
..\dataset\images\train_33620.png,1,1,1,1,0
..\dataset\images\train_37253.png,1,1,1,1,0
..\dataset\images\test_00216.png,1,1,1,1,0
..\dataset\images\train_30395.png,1,1,1,1,0
..\dataset\images\train_13014.png,1,1,1,1,0
..\dataset\images\train_01935.png,1,1,1,1,0
..\dataset\images\train_23019.png,1,1,1,1,0
..\dataset\images\train_21022.png,1,1,1,1,0
..\dataset\images\train_30287.png,1,1,1,1,0
..\dataset\images\test_00005.png,1,1,1,1,0
..\dataset\images\train_05749.png,1,1,1,1,0
..\dataset\images\train_16909.png,1,1,1,1,0
..\dataset\images\train_20697.png,1,1,1,1,0
..\dataset\images\train_48611.png,1,1,1,1,0
..\dataset\images\train_49688.png,1,1,1,1,0
..\dataset\images\train_38886.png,1,1,1,1,0
..\dataset\images\test_09608.png,1,1,1,0,0
..\dataset\images\train_24883.png,1,1,1,1,0
..\dataset\images\train_17563.png,1,1,1,1,0
..\dataset\images\train_32849.png,1,1,1,1,0
..\dataset\images\train_12828.png,1,1,1,1,0
..\dataset\images\train_39770.png,1,1,1,1,0
..\dataset\images\train_46273.png,1,1,1,1,0
..\dataset\images\train_36715.png,1,1,1,1,0
..\dataset\images\train_10444.png,1,1,1,1,0
..\dataset\images\test_07944.png,1,1,1,1,0
..\dataset\images\train_32483.png,1,1,1,1,0
..\dataset\images\train_39057.png,1,1,1,1,0
..\dataset\images\test_07452.png,1,1,1,1,0
..\dataset\images\test_05258.png,1,1,1,1,0
..\dataset\images\train_33017.png,1,1,1,1,0
..\dataset\images\test_07275.png,1,1,1,1,0
..\dataset\images\test_07023.png,1,1,1,1,0
..\dataset\images\train_02245.png,1,1,1,1,0
..\dataset\images\test_01015.png,1,1,1,1,0
..\dataset\images\train_33596.png,1,1,1,1,0
..\dataset\images\train_18053.png,1,1,1,1,0
..\dataset\images\train_38130.png,1,1,1,1,0
..\dataset\images\test_02281.png,1,1,1,1,0
..\dataset\images\train_35229.png,1,1,1,1,0
..\dataset\images\train_05383.png,1,1,1,1,0
..\dataset\images\train_27652.png,1,1,1,1,0
..\dataset\images\train_15415.png,1,1,1,1,0
..\dataset\images\train_48810.png,1,1,1,1,0
..\dataset\images\train_11626.png,1,1,1,1,0
..\dataset\images\train_01786.png,1,1,1,1,0
..\dataset\images\train_00226.png,1,1,1,1,0
..\dataset\images\train_14825.png,1,1,1,1,0
..\dataset\images\train_29297.png,1,1,1,1,0
..\dataset\images\train_27292.png,1,1,1,1,0
..\dataset\images\test_03430.png,1,1,1,1,0
..\dataset\images\train_23717.png,1,1,1,1,0
..\dataset\images\train_39029.png,1,1,1,1,0
..\dataset\images\test_03022.png,1,1,1,1,0
..\dataset\images\train_31245.png,1,1,1,1,0
..\dataset\images\train_01448.png,1,1,1,1,0
..\dataset\images\train_22982.png,1,1,1,1,0
..\dataset\images\train_47174.png,1,1,1,1,0
..\dataset\images\train_43026.png,1,1,1,1,0
..\dataset\images\train_29480.png,1,1,1,1,0
..\dataset\images\train_01085.png,1,1,1,1,0
..\dataset\images\train_24568.png,1,1,1,1,0
..\dataset\images\test_09740.png,1,1,1,1,0
..\dataset\images\train_13681.png,1,1,1,1,0
..\dataset\images\train_07080.png,1,1,1,1,0
..\dataset\images\train_26342.png,1,1,1,1,0
..\dataset\images\train_08664.png,1,1,1,1,0
..\dataset\images\train_09877.png,1,1,1,1,0
..\dataset\images\train_38630.png,1,1,1,1,0
..\dataset\images\train_01748.png,1,1,1,1,0
..\dataset\images\train_33249.png,1,1,1,1,0
..\dataset\images\test_04612.png,1,1,1,1,0
..\dataset\images\train_41636.png,1,1,1,1,0
..\dataset\images\train_45137.png,1,1,1,1,0
..\dataset\images\test_06545.png,0,0,1,1,2
..\dataset\images\train_06338.png,1,1,1,1,0
..\dataset\images\test_08002.png,1,1,1,1,0
..\dataset\images\train_13335.png,1,1,1,1,0
..\dataset\images\train_24729.png,1,1,1,1,0
..\dataset\images\train_23616.png,1,1,1,1,0
..\dataset\images\train_02606.png,1,1,1,1,0
..\dataset\images\train_03532.png,1,1,1,1,0
..\dataset\images\train_35640.png,1,1,1,1,0
..\dataset\images\train_39545.png,1,1,1,1,0
..\dataset\images\train_38750.png,1,1,1,1,0
..\dataset\images\train_48150.png,1,1,1,1,0
..\dataset\images\train_25580.png,1,1,1,1,0
..\dataset\images\train_29319.png,1,1,1,1,0
..\dataset\images\train_20673.png,1,1,1,1,0
..\dataset\images\train_48394.png,1,1,1,1,0
..\dataset\images\train_41956.png,1,1,1,1,0
..\dataset\images\test_01110.png,1,1,1,1,0
..\dataset\images\train_05602.png,1,1,1,1,0
..\dataset\images\train_00316.png,1,1,1,1,0
..\dataset\images\train_17142.png,1,1,1,1,0
..\dataset\images\test_00097.png,1,1,1,1,0
..\dataset\images\train_32071.png,1,1,1,1,0
..\dataset\images\test_08165.png,1,1,1,1,0
..\dataset\images\train_25147.png,1,1,1,1,0
..\dataset\images\train_14164.png,1,1,1,1,0
..\dataset\images\test_08396.png,0,1,1,0,1
..\dataset\images\train_32561.png,1,1,1,1,0
..\dataset\images\train_46219.png,1,1,1,1,0
..\dataset\images\train_19116.png,1,1,1,1,0
..\dataset\images\train_02714.png,1,1,1,1,0
..\dataset\images\train_39536.png,1,1,1,1,0
..\dataset\images\train_09784.png,1,1,1,1,0
..\dataset\images\train_49606.png,1,1,1,1,0
..\dataset\images\train_32375.png,1,1,1,1,0
..\dataset\images\train_47488.png,1,1,1,1,0
..\dataset\images\train_43893.png,1,1,1,1,0
..\dataset\images\train_18125.png,1,1,1,1,0
..\dataset\images\train_12073.png,1,1,1,1,0
..\dataset\images\test_05981.png,1,1,1,1,0
..\dataset\images\train_20181.png,1,1,1,1,0
..\dataset\images\test_00215.png,1,1,1,1,0
..\dataset\images\train_33672.png,1,1,1,1,0
..\dataset\images\train_09131.png,1,1,1,1,0
..\dataset\images\train_04646.png,1,1,1,1,0
..\dataset\images\train_41097.png,1,1,1,1,0
..\dataset\images\train_24895.png,1,1,1,1,0
..\dataset\images\train_13167.png,1,1,1,1,0
..\dataset\images\train_01647.png,1,1,1,1,0
..\dataset\images\train_07298.png,1,1,1,1,0
..\dataset\images\test_00922.png,1,1,1,1,0
..\dataset\images\train_45739.png,1,1,1,1,0
..\dataset\images\train_16034.png,1,1,1,1,0
..\dataset\images\train_18127.png,1,1,1,1,0
..\dataset\images\test_03920.png,1,1,1,1,0
..\dataset\images\train_04280.png,1,1,1,1,0
..\dataset\images\train_18513.png,1,1,1,1,0
..\dataset\images\train_36676.png,1,1,1,1,0
..\dataset\images\train_24902.png,1,1,1,1,0
..\dataset\images\train_04200.png,1,1,1,1,0
..\dataset\images\train_23313.png,1,1,1,1,0
..\dataset\images\train_18345.png,1,1,1,1,0
..\dataset\images\test_00695.png,1,1,1,1,0
..\dataset\images\train_33169.png,1,1,1,1,0
..\dataset\images\train_01045.png,1,1,1,1,0
..\dataset\images\train_12304.png,1,1,1,1,0
..\dataset\images\train_08878.png,1,1,1,1,0
..\dataset\images\test_02515.png,1,1,1,1,0
..\dataset\images\train_26499.png,1,1,1,1,0
..\dataset\images\test_02479.png,1,1,1,1,0
..\dataset\images\train_11268.png,1,1,1,1,0
..\dataset\images\train_39789.png,1,1,1,1,0
..\dataset\images\train_34555.png,1,1,1,1,0
..\dataset\images\train_33295.png,1,1,1,1,0
..\dataset\images\train_47474.png,1,1,1,1,0
..\dataset\images\train_10492.png,1,1,1,1,0
..\dataset\images\train_10947.png,1,1,1,1,0
..\dataset\images\train_19624.png,1,1,1,1,0
..\dataset\images\train_14022.png,1,1,1,1,0
..\dataset\images\train_08657.png,1,1,1,1,0
..\dataset\images\train_24234.png,1,1,1,1,0
..\dataset\images\test_00149.png,1,1,1,1,0
..\dataset\images\test_00547.png,1,1,1,1,0
..\dataset\images\train_10787.png,1,1,1,1,0
..\dataset\images\test_05803.png,1,1,1,1,0
..\dataset\images\test_09510.png,1,1,1,1,0
..\dataset\images\train_32627.png,1,1,1,1,0
..\dataset\images\train_19379.png,1,1,1,1,0
..\dataset\images\train_20251.png,1,1,1,1,0
..\dataset\images\train_23288.png,1,1,1,1,0
..\dataset\images\train_06560.png,1,1,1,1,0
..\dataset\images\train_12386.png,1,1,1,1,0
..\dataset\images\train_02952.png,1,1,1,1,0
..\dataset\images\train_16092.png,1,1,1,1,0
..\dataset\images\train_01712.png,1,1,1,1,0
..\dataset\images\train_21973.png,1,1,1,1,0
..\dataset\images\train_18689.png,1,1,1,1,0
..\dataset\images\train_46315.png,1,1,1,1,0
..\dataset\images\train_41001.png,1,1,1,1,0
..\dataset\images\train_30954.png,1,1,1,1,0
..\dataset\images\train_39202.png,1,1,1,1,0
..\dataset\images\train_19187.png,1,1,1,1,0
..\dataset\images\test_09130.png,1,1,1,1,0
..\dataset\images\test_04071.png,0,1,0,1,1
..\dataset\images\train_14597.png,1,1,1,1,0
..\dataset\images\train_08401.png,1,1,1,1,0
..\dataset\images\train_38912.png,1,1,1,1,0
..\dataset\images\train_13382.png,1,1,1,1,0
..\dataset\images\train_22457.png,1,1,1,1,0
..\dataset\images\train_36637.png,1,1,1,1,0
..\dataset\images\train_17456.png,1,1,1,1,0
..\dataset\images\train_41766.png,1,1,1,1,0
..\dataset\images\train_39033.png,1,1,1,1,0
..\dataset\images\test_07244.png,1,1,1,1,0
..\dataset\images\train_09520.png,1,1,1,1,0
..\dataset\images\train_20802.png,1,1,1,1,0
..\dataset\images\test_09761.png,1,1,1,1,0
..\dataset\images\train_11441.png,1,1,1,1,0
..\dataset\images\train_04279.png,1,1,1,1,0
..\dataset\images\train_44738.png,1,1,1,1,0
..\dataset\images\train_22979.png,1,1,1,1,0
..\dataset\images\train_17518.png,1,1,1,1,0
..\dataset\images\test_06393.png,1,1,1,1,0
..\dataset\images\train_13597.png,1,1,1,1,0
..\dataset\images\test_07462.png,1,1,1,1,0
..\dataset\images\train_16774.png,1,1,1,1,0
..\dataset\images\train_20631.png,1,1,1,1,0
..\dataset\images\train_04322.png,1,1,1,1,0
..\dataset\images\train_03746.png,1,1,1,1,0
..\dataset\images\train_45952.png,1,1,1,1,0
..\dataset\images\train_03341.png,1,1,1,1,0
..\dataset\images\train_31772.png,1,1,1,1,0
..\dataset\images\train_21469.png,1,1,1,1,0
..\dataset\images\test_06940.png,1,1,1,1,0
..\dataset\images\train_17410.png,1,1,1,1,0
..\dataset\images\train_13500.png,1,1,1,1,0
..\dataset\images\train_34726.png,1,1,1,1,0
..\dataset\images\train_32617.png,1,1,1,1,0
..\dataset\images\train_31644.png,1,1,1,1,0
..\dataset\images\train_04852.png,1,1,1,1,0
..\dataset\images\test_03926.png,1,1,1,1,0
..\dataset\images\train_02358.png,1,1,1,1,0
..\dataset\images\train_37181.png,1,1,1,1,0
..\dataset\images\train_42505.png,1,1,1,1,0
..\dataset\images\test_02771.png,1,1,1,1,0
..\dataset\images\train_31806.png,1,1,1,1,0
..\dataset\images\test_03723.png,1,1,1,1,0
..\dataset\images\train_00388.png,1,1,1,1,0
..\dataset\images\train_39127.png,1,1,1,1,0
..\dataset\images\train_12148.png,1,1,1,1,0
..\dataset\images\train_30983.png,1,1,1,1,0
..\dataset\images\test_03085.png,1,1,1,1,0
..\dataset\images\train_23306.png,1,1,1,1,0
..\dataset\images\test_02404.png,1,1,1,1,0
..\dataset\images\train_02787.png,1,1,1,1,0
..\dataset\images\train_02830.png,1,1,1,1,0
..\dataset\images\train_04620.png,1,1,1,1,0
..\dataset\images\train_24116.png,1,1,1,1,0
..\dataset\images\train_42679.png,1,1,1,1,0
..\dataset\images\test_06972.png,1,1,1,1,0
..\dataset\images\test_03283.png,1,1,1,1,0
..\dataset\images\train_24030.png,1,1,1,1,0
..\dataset\images\train_43569.png,1,1,1,1,0
..\dataset\images\test_08358.png,1,1,1,1,0
..\dataset\images\train_47589.png,1,1,1,1,0
..\dataset\images\train_01359.png,1,1,1,1,0
..\dataset\images\train_17922.png,1,1,1,1,0
..\dataset\images\train_17283.png,1,1,1,1,0
..\dataset\images\train_46627.png,1,1,1,1,0
..\dataset\images\test_02218.png,1,1,1,1,0
..\dataset\images\train_49004.png,1,1,1,1,0
..\dataset\images\train_08837.png,1,1,1,1,0
..\dataset\images\train_22895.png,1,1,1,1,0
..\dataset\images\train_11496.png,1,1,1,1,0
..\dataset\images\train_08852.png,1,1,1,1,0
..\dataset\images\train_34925.png,1,1,1,1,0
..\dataset\images\test_08430.png,1,1,1,1,0
..\dataset\images\train_31372.png,1,1,1,1,0
..\dataset\images\train_10968.png,1,1,1,1,0
..\dataset\images\train_38914.png,1,1,1,1,0
..\dataset\images\train_18005.png,1,1,1,1,0
..\dataset\images\test_05597.png,1,1,1,1,0
..\dataset\images\train_34167.png,1,1,1,1,0
..\dataset\images\train_42352.png,1,1,1,1,0
..\dataset\images\train_13453.png,1,1,1,1,0
..\dataset\images\train_21661.png,1,1,1,1,0
..\dataset\images\train_12934.png,1,1,1,1,0
..\dataset\images\train_02711.png,1,1,1,1,0
..\dataset\images\train_39829.png,1,1,1,1,0
..\dataset\images\train_23602.png,1,1,1,1,0
..\dataset\images\train_29259.png,1,1,1,1,0
..\dataset\images\test_01869.png,1,1,1,1,0
..\dataset\images\train_49850.png,1,1,1,1,0
..\dataset\images\train_28127.png,1,1,1,1,0
..\dataset\images\train_19273.png,1,1,1,1,0
..\dataset\images\test_04135.png,1,1,1,1,0
..\dataset\images\train_05311.png,1,1,1,1,0
..\dataset\images\train_16581.png,1,1,1,1,0
..\dataset\images\train_49825.png,1,1,1,1,0
..\dataset\images\train_02432.png,1,1,1,1,0
..\dataset\images\train_41206.png,1,1,1,1,0
..\dataset\images\train_20085.png,1,1,1,1,0
..\dataset\images\train_20332.png,1,1,1,1,0
..\dataset\images\train_09318.png,1,1,1,1,0
..\dataset\images\test_02050.png,1,1,1,1,0
..\dataset\images\train_04728.png,1,1,1,1,0
..\dataset\images\train_27942.png,1,1,1,1,0
..\dataset\images\train_06984.png,1,1,1,1,0
..\dataset\images\train_38260.png,1,1,1,1,0
..\dataset\images\train_34928.png,1,1,1,1,0
..\dataset\images\train_48217.png,1,1,1,1,0
..\dataset\images\train_31488.png,1,1,1,1,0
..\dataset\images\train_17859.png,1,1,1,1,0
..\dataset\images\test_01973.png,1,1,1,1,0
..\dataset\images\train_16144.png,1,1,1,1,0
..\dataset\images\train_26799.png,1,1,1,1,0
..\dataset\images\train_14005.png,1,1,1,1,0
..\dataset\images\train_47965.png,1,1,1,1,0
..\dataset\images\train_14034.png,1,1,1,1,0
..\dataset\images\train_03391.png,1,1,1,1,0
..\dataset\images\train_27894.png,1,1,1,1,0
..\dataset\images\train_06962.png,1,1,1,1,0
..\dataset\images\train_36478.png,1,1,1,1,0
..\dataset\images\train_09657.png,1,1,1,1,0
..\dataset\images\test_00987.png,1,1,1,1,0
..\dataset\images\train_00533.png,1,1,1,1,0
..\dataset\images\train_33248.png,1,1,1,1,0
..\dataset\images\test_09388.png,1,1,1,1,0
..\dataset\images\train_49247.png,1,1,1,1,0
..\dataset\images\train_28206.png,1,1,1,1,0
..\dataset\images\train_28697.png,1,1,1,1,0
..\dataset\images\test_07233.png,1,1,1,1,0
..\dataset\images\train_30787.png,1,1,1,1,0
..\dataset\images\test_06749.png,1,1,1,1,0
..\dataset\images\train_01795.png,1,1,1,1,0
..\dataset\images\train_28691.png,1,1,1,1,0
..\dataset\images\train_23613.png,1,1,1,1,0
..\dataset\images\train_41748.png,1,1,1,1,0
..\dataset\images\train_00900.png,1,1,1,1,0
..\dataset\images\train_29955.png,1,1,1,1,0
..\dataset\images\train_47478.png,1,1,1,1,0
..\dataset\images\train_20225.png,1,1,1,1,0
..\dataset\images\train_03632.png,1,1,1,1,0
..\dataset\images\train_32478.png,1,1,1,1,0
..\dataset\images\test_00319.png,1,1,1,1,0
..\dataset\images\train_04194.png,1,1,1,1,0
..\dataset\images\train_07860.png,1,1,1,1,0
..\dataset\images\train_22137.png,1,1,1,1,0
..\dataset\images\train_27923.png,1,1,1,1,0
..\dataset\images\train_17522.png,1,1,1,1,0
..\dataset\images\train_13676.png,1,1,1,1,0
..\dataset\images\test_05587.png,1,1,1,1,0
..\dataset\images\train_25139.png,1,1,1,1,0
..\dataset\images\test_00088.png,1,1,1,1,0
..\dataset\images\train_14848.png,1,1,1,1,0
..\dataset\images\train_23478.png,1,1,1,1,0
..\dataset\images\train_10763.png,1,1,1,1,0
..\dataset\images\test_00199.png,1,1,1,1,0
..\dataset\images\test_00863.png,1,1,1,1,0
..\dataset\images\train_42255.png,1,1,1,1,0
..\dataset\images\train_03720.png,1,1,1,1,0
..\dataset\images\train_12991.png,1,1,1,1,0
..\dataset\images\train_38816.png,1,1,1,1,0
..\dataset\images\test_00469.png,1,1,1,1,0
..\dataset\images\test_05183.png,0,0,1,1,2
..\dataset\images\train_19701.png,1,1,1,1,0
..\dataset\images\train_18395.png,1,1,1,1,0
..\dataset\images\train_26083.png,1,1,1,1,0
..\dataset\images\train_15613.png,1,1,1,1,0
..\dataset\images\train_28113.png,1,1,1,1,0
..\dataset\images\train_08693.png,1,1,1,1,0
..\dataset\images\train_39244.png,1,1,1,1,0
..\dataset\images\test_05842.png,1,1,1,1,0
..\dataset\images\train_37015.png,1,1,1,1,0
..\dataset\images\train_47151.png,1,1,1,1,0
..\dataset\images\train_08010.png,1,1,1,1,0
..\dataset\images\train_39585.png,1,1,1,1,0
..\dataset\images\train_37841.png,1,1,1,1,0
..\dataset\images\train_04684.png,1,1,1,1,0
..\dataset\images\train_12677.png,1,1,1,1,0
..\dataset\images\train_48930.png,1,1,1,1,0
..\dataset\images\train_49193.png,1,1,1,1,0
..\dataset\images\train_45923.png,1,1,1,1,0
..\dataset\images\test_03299.png,0,0,0,1,3
..\dataset\images\train_17510.png,1,1,1,1,0
..\dataset\images\test_08727.png,0,0,1,1,2
..\dataset\images\train_35308.png,1,1,1,1,0
..\dataset\images\train_39236.png,1,1,1,1,0
..\dataset\images\test_06747.png,1,1,1,1,0
..\dataset\images\train_03724.png,1,1,1,1,0
..\dataset\images\train_27660.png,1,1,1,1,0
..\dataset\images\train_11031.png,1,1,1,1,0
..\dataset\images\train_09681.png,1,1,1,1,0
..\dataset\images\test_00402.png,1,1,1,1,0
..\dataset\images\train_29590.png,1,1,1,1,0
..\dataset\images\train_44203.png,1,1,1,1,0
..\dataset\images\train_25490.png,1,1,1,1,0
..\dataset\images\train_29167.png,1,1,1,1,0
..\dataset\images\train_24258.png,1,1,1,1,0
..\dataset\images\train_26298.png,1,1,1,1,0
..\dataset\images\train_04009.png,1,1,1,1,0
..\dataset\images\train_44221.png,1,1,1,1,0
..\dataset\images\train_00600.png,1,1,1,1,0
..\dataset\images\train_36424.png,1,1,1,1,0
..\dataset\images\train_02823.png,1,1,1,1,0
..\dataset\images\train_34771.png,1,1,1,1,0
..\dataset\images\train_24668.png,1,1,1,1,0
..\dataset\images\train_33000.png,1,1,1,1,0
..\dataset\images\train_30675.png,1,1,1,1,0
..\dataset\images\train_04757.png,1,1,1,1,0
..\dataset\images\train_22054.png,1,1,1,1,0
..\dataset\images\train_08183.png,1,1,1,1,0
..\dataset\images\train_24318.png,1,1,1,1,0
..\dataset\images\train_03554.png,1,1,1,1,0
..\dataset\images\train_40091.png,1,1,1,1,0
..\dataset\images\train_17105.png,1,1,1,1,0
..\dataset\images\test_06502.png,1,1,1,1,0
..\dataset\images\train_32859.png,1,1,1,1,0
..\dataset\images\train_35486.png,1,1,1,1,0
..\dataset\images\train_47407.png,1,1,1,1,0
..\dataset\images\test_08109.png,1,1,1,1,0
..\dataset\images\train_31411.png,1,1,1,1,0
..\dataset\images\train_45659.png,1,1,1,1,0
..\dataset\images\train_14821.png,1,1,1,1,0
..\dataset\images\train_02215.png,1,1,1,1,0
..\dataset\images\train_06481.png,1,1,1,1,0
..\dataset\images\test_09237.png,1,1,0,0,0
..\dataset\images\train_05211.png,1,1,1,1,0
..\dataset\images\train_03195.png,1,1,1,1,0
..\dataset\images\train_32246.png,1,1,1,1,0
